Brain sample,Fold Region,Which average difference,Comparison_number,Bok_1929_relative_laminar_volume_difference,Bok_1929_relative_laminar_thickness_difference,Lamina,,,,
Not very curved,R. Middle temporal gyrus (temporal lobe),Gyri1_minus_Sulci1,9,-3,-18,II,,,,
Not very curved,R. Middle temporal gyrus (temporal lobe),Gyri1_minus_Sulci1,9,3,-12,III,,,,
Not very curved,R. Middle temporal gyrus (temporal lobe),Gyri1_minus_Sulci1,9,1,2,IV,,,,
Not very curved,R. Middle temporal gyrus (temporal lobe),Gyri1_minus_Sulci1,9,-3,4,V,,,,
Not very curved,R. Middle temporal gyrus (temporal lobe),Gyri1_minus_Sulci1,9,2,24,VI,,,,
Not very curved,R. Middle temporal gyrus (temporal lobe),Gyri2_minus_Sulci1,10,-2,-83,I,,,,
Not very curved,R. Middle temporal gyrus (temporal lobe),Gyri2_minus_Sulci1,10,-1,-16,II,,,,
Not very curved,R. Middle temporal gyrus (temporal lobe),Gyri2_minus_Sulci1,10,-1,-13,III,,,,
Not very curved,R. Middle temporal gyrus (temporal lobe),Gyri2_minus_Sulci1,10,-1,2,IV,,,,
Not very curved,R. Middle temporal gyrus (temporal lobe),Gyri2_minus_Sulci1,10,2,11,V,,,,
Not very curved,R. Middle temporal gyrus (temporal lobe),Gyri2_minus_Sulci1,10,1,16,VI,,,,
Not very curved,"L. Basal forebrain (forebrain, subcortical basal ganglia)",Gyri1_minus_Sulci1,11,2,-47,I,,,,
Not very curved,"L. Basal forebrain (forebrain, subcortical basal ganglia)",Gyri1_minus_Sulci1,11,1,-9,II,,,,
Not very curved,"L. Basal forebrain (forebrain, subcortical basal ganglia)",Gyri1_minus_Sulci1,11,-5,-20,III,,,,
Not very curved,"L. Basal forebrain (forebrain, subcortical basal ganglia)",Gyri1_minus_Sulci1,11,0,1,IV,,,,
Not very curved,"L. Basal forebrain (forebrain, subcortical basal ganglia)",Gyri1_minus_Sulci1,11,3,4,V,,,,
Not very curved,"L. Basal forebrain (forebrain, subcortical basal ganglia)",Gyri1_minus_Sulci1,11,1,24,VI,,,,
Not very curved,"L. Basal forebrain (forebrain, subcortical basal ganglia)",Gyri2_minus_Sulci1,12,5,-47,I,,,,
Not very curved,"L. Basal forebrain (forebrain, subcortical basal ganglia)",Gyri2_minus_Sulci1,12,4,-7,II,,,,
Not very curved,"L. Basal forebrain (forebrain, subcortical basal ganglia)",Gyri2_minus_Sulci1,12,-2,-20,III,,,,
Not very curved,"L. Basal forebrain (forebrain, subcortical basal ganglia)",Gyri2_minus_Sulci1,12,9,2,IV,,,,
Not very curved,"L. Basal forebrain (forebrain, subcortical basal ganglia)",Gyri2_minus_Sulci1,12,-8,4,V,,,,
Not very curved,"L. Basal forebrain (forebrain, subcortical basal ganglia)",Gyri2_minus_Sulci1,12,-3,21,VI,,,,
Not very curved,R. Paracentral lobule (frontal lobe/parietal lobe),Gyri1_minus_Sulci1,13,3,-54,I,,,,
Not very curved,R. Paracentral lobule (frontal lobe/parietal lobe),Gyri1_minus_Sulci1,13,-1,-14,II,,,,
Not very curved,R. Paracentral lobule (frontal lobe/parietal lobe),Gyri1_minus_Sulci1,13,4,-12,III,,,,
Not very curved,R. Paracentral lobule (frontal lobe/parietal lobe),Gyri1_minus_Sulci1,13,0,2,IV,,,,
Not very curved,R. Paracentral lobule (frontal lobe/parietal lobe),Gyri1_minus_Sulci1,13,-4,3,V,,,,
Not very curved,R. Paracentral lobule (frontal lobe/parietal lobe),Gyri1_minus_Sulci1,13,1,21,VI,,,,
Not very curved,R. Paracentral lobule (frontal lobe/parietal lobe),Gyri2_minus_Sulci1,14,11,-52,I,,,,
Not very curved,R. Paracentral lobule (frontal lobe/parietal lobe),Gyri2_minus_Sulci1,14,1,-14,II,,,,
Not very curved,R. Paracentral lobule (frontal lobe/parietal lobe),Gyri2_minus_Sulci1,14,0,-16,III,,,,
Not very curved,R. Paracentral lobule (frontal lobe/parietal lobe),Gyri2_minus_Sulci1,14,1,1,IV,,,,
Not very curved,R. Paracentral lobule (frontal lobe/parietal lobe),Gyri2_minus_Sulci1,14,-1,7,V,,,,
Not very curved,R. Paracentral lobule (frontal lobe/parietal lobe),Gyri2_minus_Sulci1,14,-1,22,VI,,,,
Very curved,R. Medial frontal gyrus (frontal lobe),Gyri1_minus_Sulci1,15,5,-62,I,,,,
Very curved,R. Medial frontal gyrus (frontal lobe),Gyri1_minus_Sulci1,15,3,-6,II,,,,
Very curved,R. Medial frontal gyrus (frontal lobe),Gyri1_minus_Sulci1,15,-6,-24,III,,,,
Very curved,R. Medial frontal gyrus (frontal lobe),Gyri1_minus_Sulci1,15,-2,-1,IV,,,,
Very curved,R. Medial frontal gyrus (frontal lobe),Gyri1_minus_Sulci1,15,1,7,V,,,,
Very curved,R. Medial frontal gyrus (frontal lobe),Gyri1_minus_Sulci1,15,4,24,VI,,,,
