Brain sample,Fold Region,Which average difference,Comparison_number,Bok_1929_gyri_to_wall_thickness_difference,Bok_1929_sulci_to_wall_thickness_difference,Lamina,,
Not very curved,R. Middle temporal gyrus (temporal lobe),Gyri2_minus_Sulci1,10,-1,82,I,1,-82
Not very curved,R. Middle temporal gyrus (temporal lobe),Gyri2_minus_Sulci1,10,-4,12,II,4,-12
Not very curved,R. Middle temporal gyrus (temporal lobe),Gyri2_minus_Sulci1,10,3,16,III,-3,-16
Not very curved,R. Middle temporal gyrus (temporal lobe),Gyri2_minus_Sulci1,10,1,-1,IV,-1,1
Not very curved,R. Middle temporal gyrus (temporal lobe),Gyri2_minus_Sulci1,10,5,-6,V,-5,6
Not very curved,R. Middle temporal gyrus (temporal lobe),Gyri2_minus_Sulci1,10,-5,-21,VI,5,21
Not very curved,"L. Basal forebrain (forebrain, subcortical basal ganglia)",Gyri1_minus_Sulci1,11,-3,44,I,3,-44
Not very curved,"L. Basal forebrain (forebrain, subcortical basal ganglia)",Gyri1_minus_Sulci1,11,-5,4,II,5,-4
Not very curved,"L. Basal forebrain (forebrain, subcortical basal ganglia)",Gyri1_minus_Sulci1,11,-12,8,III,12,-8
Not very curved,"L. Basal forebrain (forebrain, subcortical basal ganglia)",Gyri1_minus_Sulci1,11,-1,-2,IV,1,2
Not very curved,"L. Basal forebrain (forebrain, subcortical basal ganglia)",Gyri1_minus_Sulci1,11,2,-2,V,-2,2
Not very curved,"L. Basal forebrain (forebrain, subcortical basal ganglia)",Gyri1_minus_Sulci1,11,16,-8,VI,-16,8
Not very curved,"L. Basal forebrain (forebrain, subcortical basal ganglia)",Gyri2_minus_Sulci1,12,8,55,I,-8,-55
Not very curved,"L. Basal forebrain (forebrain, subcortical basal ganglia)",Gyri2_minus_Sulci1,12,7,14,II,-7,-14
Not very curved,"L. Basal forebrain (forebrain, subcortical basal ganglia)",Gyri2_minus_Sulci1,12,28,48,III,-28,-48
Not very curved,"L. Basal forebrain (forebrain, subcortical basal ganglia)",Gyri2_minus_Sulci1,12,11,9,IV,-11,-9
Not very curved,"L. Basal forebrain (forebrain, subcortical basal ganglia)",Gyri2_minus_Sulci1,12,21,17,V,-21,-17
Not very curved,"L. Basal forebrain (forebrain, subcortical basal ganglia)",Gyri2_minus_Sulci1,12,33,12,VI,-33,-12
Not very curved,R. Paracentral lobule (frontal lobe/parietal lobe),Gyri1_minus_Sulci1,13,-2,52,I,2,-52
Not very curved,R. Paracentral lobule (frontal lobe/parietal lobe),Gyri1_minus_Sulci1,13,-7,7,II,7,-7
Not very curved,R. Paracentral lobule (frontal lobe/parietal lobe),Gyri1_minus_Sulci1,13,-13,-1,III,13,1
Not very curved,R. Paracentral lobule (frontal lobe/parietal lobe),Gyri1_minus_Sulci1,13,2,0,IV,-2,0
Not very curved,R. Paracentral lobule (frontal lobe/parietal lobe),Gyri1_minus_Sulci1,13,-2,-5,V,2,5
Not very curved,R. Paracentral lobule (frontal lobe/parietal lobe),Gyri1_minus_Sulci1,13,20,-1,VI,-20,1
Not very curved,R. Paracentral lobule (frontal lobe/parietal lobe),Gyri2_minus_Sulci1,14,-5,47,I,5,-47
Not very curved,R. Paracentral lobule (frontal lobe/parietal lobe),Gyri2_minus_Sulci1,14,-6,8,II,6,-8
Not very curved,R. Paracentral lobule (frontal lobe/parietal lobe),Gyri2_minus_Sulci1,14,-16,0,III,16,0
Not very curved,R. Paracentral lobule (frontal lobe/parietal lobe),Gyri2_minus_Sulci1,14,-1,-2,IV,1,2
Not very curved,R. Paracentral lobule (frontal lobe/parietal lobe),Gyri2_minus_Sulci1,14,4,-3,V,-4,3
